Nâng cấp bắt đầu: 11:44:37_07-03-2021
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/themes/blocks_func.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/themes/deletetheme.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/themes/main.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/themes/package_theme_module.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/themes/setuplayout.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/themes/sort_order.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/themes/xcopyblock.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/themes/xcopyprocess.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/webtools/clearsystem.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/webtools/config.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file admin/webtools/statistics.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file assets/js/admin.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file composer.json | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file error.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/action_mysql.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/core/admin_functions.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/core/rpc.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/core/user_functions.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/functions.php | SUCCESS
